Sample	posterior	ESS(posterior)	likelihood	prior	
0	-5323.677674382095	3.5	-5307.471488874989	-16.206185507106152	
1	-5318.8090328165845	3.6	-5304.214516745805	-14.59451607077935	
2	-5313.477772276546	3.2	-5298.443430516602	-15.034341759943288	
3	-5317.927526232066	3.3	-5297.279006229694	-20.648520002372283	
4	-5317.927526232066	3.3	-5297.279006229694	-20.648520002372283	
5	-5317.927526232066	3.3	-5297.279006229694	-20.648520002372283	
6	-5317.927526232066	3.3	-5297.279006229694	-20.648520002372283	
7	-5317.927526232066	3.3	-5297.279006229694	-20.648520002372283	
8	-5317.927526232066	3.3	-5297.279006229694	-20.648520002372283	
9	-5317.927526232066	3.3	-5297.279006229694	-20.648520002372283	
10	-5311.838207212626	3.4	-5297.123904930005	-14.714302282621155	
11	-5311.838207212626	3.4	-5297.123904930005	-14.714302282621155	
