"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6261.30231879032,5.35662204768325,9.16776326482557e-11,9.83318258343792
"2","GTR","relaxed_log_normal","yule",-6256.24936780994,4.51431957663369,0.0000000143460426713008,12.8778067491272
"3","GTR","strict","birth_death",-6263.45356707347,6.38153888460153,1.06656697368278e-11,9.05776282403447
"4","GTR","strict","yule",-6287.20403454274,7.33164351729588,5.16762709976213e-22,12.0291964564443
"5","HKY","relaxed_log_normal","birth_death",-6249.48167706096,5.68417827401137,0.0000124710455591202,5.38627303392071
"6","HKY","relaxed_log_normal","yule",-6253.48077367218,5.7597078498796,0.000000228621607957585,8.68730547629181
"7","HKY","strict","birth_death",-6260.65875953556,6.31552195490181,0.000000000174484809363166,8.81130832830816
"8","HKY","strict","yule",-6259.07428872614,6.02207765541048,0.000000000850911812329502,9.60291271680413
"9","JC69","relaxed_log_normal","birth_death",-6246.86158744691,4.97609463687195,0.000171314186086367,5.39824243867283
"10","JC69","relaxed_log_normal","yule",-6238.19037248378,4.04380647973088,0.99920393837005,5.00584202054884
"11","JC69","strict","birth_death",-6245.58876582022,4.99549949633655,0.000611748250735135,5.21878985699508
"12","TN93","relaxed_log_normal","birth_death",-6261.17551834036,6.60979105685696,0.000000000104071574700469,8.30448171936946
"13","TN93","relaxed_log_normal","yule",-6253.26892992373,5.55820614970188,0.000000282565962341286,8.74572618863664
"14","TN93","strict","birth_death",-6258.62333302155,5.43262525518785,0.0000000013357713570418,12.3873909592772
"15","TN93","strict","yule",-6261.98386187429,5.55003408423218,4.63738325628512e-11,8.1842481229038
